Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
BE,*,*,*,20.0000,VAT,1,0,1,
BG,*,*,*,20.0000,VAT,1,0,1,
CZ,*,*,*,20.0000,VAT,1,0,1,
DK,*,*,*,20.0000,VAT,1,0,1,
DE,*,*,*,20.0000,USt.,1,0,1,
EE,*,*,*,20.0000,VAT,1,0,1,
GR,*,*,*,20.0000,VAT,1,0,1,
ES,*,*,*,20.0000,VAT,1,0,1,
FR,*,*,*,20.0000,VAT,1,0,1,
HR,*,*,*,20.0000,VAT,1,0,1,
IE,*,*,*,20.0000,VAT,1,0,1,
IT,*,*,*,20.0000,VAT,1,0,1,
CY,*,*,*,20.0000,VAT,1,0,1,
LV,*,*,*,20.0000,VAT,1,0,1,
LT,*,*,*,20.0000,VAT,1,0,1,
LU,*,*,*,20.0000,VAT,1,0,1,
HU,*,*,*,20.0000,VAT,1,0,1,
MT,*,*,*,20.0000,VAT,1,0,1,
NL,*,*,*,20.0000,VAT,1,0,1,
AT,*,*,*,20.0000,USt.,1,0,1,
PL,*,*,*,20.0000,VAT,1,0,1,
PT,*,*,*,20.0000,VAT,1,0,1,
RO,*,*,*,20.0000,VAT,1,0,1,
SI,*,*,*,20.0000,VAT,1,0,1,
SK,*,*,*,20.0000,VAT,1,0,1,
FI,*,*,*,20.0000,VAT,1,0,1,
SE,*,*,*,20.0000,VAT,1,0,1,
BE,*,*,*,10.0000,VAT,2,0,1,reduziert
BG,*,*,*,10.0000,VAT,2,0,1,reduziert
CZ,*,*,*,10.0000,VAT,2,0,1,reduziert
DE,*,*,*,10.0000,USt.,2,0,1,reduziert
EE,*,*,*,10.0000,VAT,2,0,1,reduziert
GR,*,*,*,10.0000,VAT,2,0,1,reduziert
ES,*,*,*,10.0000,VAT,2,0,1,reduziert
FR,*,*,*,10.0000,VAT,2,0,1,reduziert
HR,*,*,*,10.0000,VAT,2,0,1,reduziert
IE,*,*,*,10.0000,VAT,2,0,1,reduziert
IT,*,*,*,10.0000,VAT,2,0,1,reduziert
CY,*,*,*,10.0000,VAT,2,0,1,reduziert
LV,*,*,*,10.0000,VAT,2,0,1,reduziert
LT,*,*,*,10.0000,VAT,2,0,1,reduziert
LU,*,*,*,10.0000,VAT,2,0,1,reduziert
HU,*,*,*,10.0000,VAT,2,0,1,reduziert
MT,*,*,*,10.0000,VAT,2,0,1,reduziert
NL,*,*,*,10.0000,VAT,2,0,1,reduziert
AT,*,*,*,10.0000,USt.,2,0,1,reduziert
PL,*,*,*,10.0000,VAT,2,0,1,reduziert
PT,*,*,*,10.0000,VAT,2,0,1,reduziert
RO,*,*,*,10.0000,VAT,2,0,1,reduziert
SI,*,*,*,10.0000,VAT,2,0,1,reduziert
SK,*,*,*,10.0000,VAT,2,0,1,reduziert
FI,*,*,*,10.0000,VAT,2,0,1,reduziert
SE,*,*,*,10.0000,VAT,2,0,1,reduziert
BE,*,*,*,21.0000,VAT,1,0,1,eu-digital
BG,*,*,*,20.0000,VAT,1,0,1,eu-digital
CZ,*,*,*,21.0000,VAT,1,0,1,eu-digital
DK,*,*,*,25.0000,VAT,1,0,1,eu-digital
DE,*,*,*,19.0000,USt.,1,0,1,eu-digital
EE,*,*,*,20.0000,VAT,1,0,1,eu-digital
GR,*,*,*,24.0000,VAT,1,0,1,eu-digital
ES,*,*,*,21.0000,VAT,1,0,1,eu-digital
FR,*,*,*,20.0000,VAT,1,0,1,eu-digital
HR,*,*,*,25.0000,VAT,1,0,1,eu-digital
IE,*,*,*,23.0000,VAT,1,0,1,eu-digital
IT,*,*,*,22.0000,VAT,1,0,1,eu-digital
CY,*,*,*,19.0000,VAT,1,0,1,eu-digital
LV,*,*,*,21.0000,VAT,1,0,1,eu-digital
LT,*,*,*,21.0000,VAT,1,0,1,eu-digital
LU,*,*,*,17.0000,VAT,1,0,1,eu-digital
HU,*,*,*,27.0000,VAT,1,0,1,eu-digital
MT,*,*,*,18.0000,VAT,1,0,1,eu-digital
NL,*,*,*,21.0000,VAT,1,0,1,eu-digital
AT,*,*,*,20.0000,USt.,1,0,1,eu-digital
PL,*,*,*,23.0000,VAT,1,0,1,eu-digital
PT,*,*,*,23.0000,VAT,1,0,1,eu-digital
RO,*,*,*,19.0000,VAT,1,0,1,eu-digital
SI,*,*,*,22.0000,VAT,1,0,1,eu-digital
SK,*,*,*,20.0000,VAT,1,0,1,eu-digital
FI,*,*,*,24.0000,VAT,1,0,1,eu-digital
SE,*,*,*,25.0000,VAT,1,0,1,eu-digital
