Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
BE,*,*,*,19.0000,VAT,1,0,1,
BG,*,*,*,19.0000,VAT,1,0,1,
CZ,*,*,*,19.0000,VAT,1,0,1,
DK,*,*,*,19.0000,VAT,1,0,1,
DE,*,*,*,19.0000,MwSt.,1,0,1,
EE,*,*,*,19.0000,VAT,1,0,1,
GR,*,*,*,19.0000,VAT,1,0,1,
ES,*,*,*,19.0000,VAT,1,0,1,
FR,*,*,*,19.0000,VAT,1,0,1,
HR,*,*,*,19.0000,VAT,1,0,1,
IE,*,*,*,19.0000,VAT,1,0,1,
IT,*,*,*,19.0000,VAT,1,0,1,
CY,*,*,*,19.0000,VAT,1,0,1,
LV,*,*,*,19.0000,VAT,1,0,1,
LT,*,*,*,19.0000,VAT,1,0,1,
LU,*,*,*,19.0000,VAT,1,0,1,
HU,*,*,*,19.0000,VAT,1,0,1,
MT,*,*,*,19.0000,VAT,1,0,1,
NL,*,*,*,19.0000,VAT,1,0,1,
AT,*,*,*,19.0000,MwSt.,1,0,1,
PL,*,*,*,19.0000,VAT,1,0,1,
PT,*,*,*,19.0000,VAT,1,0,1,
RO,*,*,*,19.0000,VAT,1,0,1,
SI,*,*,*,19.0000,VAT,1,0,1,
SK,*,*,*,19.0000,VAT,1,0,1,
FI,*,*,*,19.0000,VAT,1,0,1,
SE,*,*,*,19.0000,VAT,1,0,1,
BE,*,*,*,7.0000,VAT,2,0,1,reduziert
BG,*,*,*,7.0000,VAT,2,0,1,reduziert
CZ,*,*,*,7.0000,VAT,2,0,1,reduziert
DE,*,*,*,7.0000,MwSt.,2,0,1,reduziert
EE,*,*,*,7.0000,VAT,2,0,1,reduziert
GR,*,*,*,7.0000,VAT,2,0,1,reduziert
ES,*,*,*,7.0000,VAT,2,0,1,reduziert
FR,*,*,*,7.0000,VAT,2,0,1,reduziert
HR,*,*,*,7.0000,VAT,2,0,1,reduziert
IE,*,*,*,7.0000,VAT,2,0,1,reduziert
IT,*,*,*,7.0000,VAT,2,0,1,reduziert
CY,*,*,*,7.0000,VAT,2,0,1,reduziert
LV,*,*,*,7.0000,VAT,2,0,1,reduziert
LT,*,*,*,7.0000,VAT,2,0,1,reduziert
LU,*,*,*,7.0000,VAT,2,0,1,reduziert
HU,*,*,*,7.0000,VAT,2,0,1,reduziert
MT,*,*,*,7.0000,VAT,2,0,1,reduziert
NL,*,*,*,7.0000,VAT,2,0,1,reduziert
AT,*,*,*,7.0000,MwSt.,2,0,1,reduziert
PL,*,*,*,7.0000,VAT,2,0,1,reduziert
PT,*,*,*,7.0000,VAT,2,0,1,reduziert
RO,*,*,*,7.0000,VAT,2,0,1,reduziert
SI,*,*,*,7.0000,VAT,2,0,1,reduziert
SK,*,*,*,7.0000,VAT,2,0,1,reduziert
FI,*,*,*,7.0000,VAT,2,0,1,reduziert
SE,*,*,*,7.0000,VAT,2,0,1,reduziert
BE,*,*,*,21.0000,VAT,1,0,1,eu-digital
BG,*,*,*,20.0000,VAT,1,0,1,eu-digital
CZ,*,*,*,21.0000,VAT,1,0,1,eu-digital
DK,*,*,*,25.0000,VAT,1,0,1,eu-digital
DE,*,*,*,19.0000,MwSt.,1,0,1,eu-digital
EE,*,*,*,20.0000,VAT,1,0,1,eu-digital
GR,*,*,*,24.0000,VAT,1,0,1,eu-digital
ES,*,*,*,21.0000,VAT,1,0,1,eu-digital
FR,*,*,*,20.0000,VAT,1,0,1,eu-digital
HR,*,*,*,25.0000,VAT,1,0,1,eu-digital
IE,*,*,*,23.0000,VAT,1,0,1,eu-digital
IT,*,*,*,22.0000,VAT,1,0,1,eu-digital
CY,*,*,*,19.0000,VAT,1,0,1,eu-digital
LV,*,*,*,21.0000,VAT,1,0,1,eu-digital
LT,*,*,*,21.0000,VAT,1,0,1,eu-digital
LU,*,*,*,17.0000,VAT,1,0,1,eu-digital
HU,*,*,*,27.0000,VAT,1,0,1,eu-digital
MT,*,*,*,18.0000,VAT,1,0,1,eu-digital
NL,*,*,*,21.0000,VAT,1,0,1,eu-digital
AT,*,*,*,20.0000,MwSt.,1,0,1,eu-digital
PL,*,*,*,23.0000,VAT,1,0,1,eu-digital
PT,*,*,*,23.0000,VAT,1,0,1,eu-digital
RO,*,*,*,19.0000,VAT,1,0,1,eu-digital
SI,*,*,*,22.0000,VAT,1,0,1,eu-digital
SK,*,*,*,20.0000,VAT,1,0,1,eu-digital
FI,*,*,*,24.0000,VAT,1,0,1,eu-digital
SE,*,*,*,25.0000,VAT,1,0,1,eu-digital
