Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
BE,*,*,*,21.0000,VAT,1,0,1,eu-digital
BG,*,*,*,20.0000,VAT,1,0,1,eu-digital
CZ,*,*,*,21.0000,VAT,1,0,1,eu-digital
DK,*,*,*,25.0000,VAT,1,0,1,eu-digital
DE,*,*,*,19.0000,MwSt.,1,0,1,eu-digital
EE,*,*,*,20.0000,VAT,1,0,1,eu-digital
GR,*,*,*,24.0000,VAT,1,0,1,eu-digital
ES,*,*,*,21.0000,VAT,1,0,1,eu-digital
FR,*,*,*,20.0000,VAT,1,0,1,eu-digital
HR,*,*,*,25.0000,VAT,1,0,1,eu-digital
IE,*,*,*,23.0000,VAT,1,0,1,eu-digital
IT,*,*,*,22.0000,VAT,1,0,1,eu-digital
CY,*,*,*,19.0000,VAT,1,0,1,eu-digital
LV,*,*,*,21.0000,VAT,1,0,1,eu-digital
LT,*,*,*,21.0000,VAT,1,0,1,eu-digital
LU,*,*,*,17.0000,VAT,1,0,1,eu-digital
HU,*,*,*,27.0000,VAT,1,0,1,eu-digital
MT,*,*,*,18.0000,VAT,1,0,1,eu-digital
NL,*,*,*,21.0000,VAT,1,0,1,eu-digital
AT,*,*,*,20.0000,MwSt.,1,0,1,eu-digital
PL,*,*,*,23.0000,VAT,1,0,1,eu-digital
PT,*,*,*,23.0000,VAT,1,0,1,eu-digital
RO,*,*,*,19.0000,VAT,1,0,1,eu-digital
SI,*,*,*,22.0000,VAT,1,0,1,eu-digital
SK,*,*,*,20.0000,VAT,1,0,1,eu-digital
FI,*,*,*,24.0000,VAT,1,0,1,eu-digital
SE,*,*,*,25.0000,VAT,1,0,1,eu-digital
